state,county,party,total_votes,number,per capita income
Iowa,Buchanan,REP,6420,640,27038
Iowa,Buchanan,DEM,4169,640,27038
Texas,Fayette,REP,10163,641,27032
Texas,Fayette,DEM,2650,641,27032
Ohio,Fairfield,REP,49714,642,27031
Ohio,Fairfield,DEM,30634,642,27031
North Dakota,GrandForks,REP,16987,643,27026
North Dakota,GrandForks,DEM,12880,643,27026
Kansas,Leavenworth,REP,21378,644,27017
Kansas,Leavenworth,DEM,13753,644,27017
South Dakota,Lake,REP,3681,645,27015
South Dakota,Lake,DEM,2068,645,27015
Florida,Brevard,REP,207857,646,27009
Florida,Brevard,DEM,148479,646,27009
South Dakota,Pennington,REP,35063,647,27000
South Dakota,Pennington,DEM,20606,647,27000
Virginia,Greene,REP,6866,648,26998
Virginia,Greene,DEM,4163,648,26998
California,Mariposa,REP,5950,649,26988
California,Mariposa,DEM,4088,649,26988
Texas,Young,REP,7112,650,26979
Texas,Young,DEM,1036,650,26979
Nebraska,Thayer,REP,2308,651,26965
Nebraska,Thayer,DEM,624,651,26965
Texas,JeffDavis,REP,783,652,26958
Texas,JeffDavis,DEM,501,652,26958
Virginia,Louisa,REP,13294,653,26956
Virginia,Louisa,DEM,8269,653,26956
Wisconsin,Winnebago,REP,47796,654,26955
Wisconsin,Winnebago,DEM,44060,654,26955
Washington,Garfield,REP,1062,655,26954
Washington,Garfield,DEM,362,655,26954
Texas,Aransas,REP,9210,656,26953
Texas,Aransas,DEM,2896,656,26953
Michigan,Charlevoix,REP,9841,657,26947
Michigan,Charlevoix,DEM,6939,657,26947
Kentucky,Campbell,REP,28482,658,26945
Kentucky,Campbell,DEM,19373,658,26945
Virginia,ManassasPark,DEM,3913,659,26944
Virginia,ManassasPark,REP,2062,659,26944
Virginia,KingWilliam,REP,7320,660,26940
Virginia,KingWilliam,DEM,3260,660,26940
Iowa,Fremont,REP,2711,661,26930
Iowa,Fremont,DEM,1078,661,26930
Minnesota,Kittson,REP,1546,662,26927
Minnesota,Kittson,DEM,1006,662,26927
New Mexico,Sandoval,DEM,40588,663,26924
New Mexico,Sandoval,REP,34174,663,26924
Illinois,Calhoun,REP,2043,664,26924
Illinois,Calhoun,DEM,674,664,26924
Oklahoma,Cleveland,REP,66677,665,26920
Oklahoma,Cleveland,DEM,49827,665,26920
Kansas,Mitchell,REP,2454,666,26911
Kansas,Mitchell,DEM,547,666,26911
Delaware,Sussex,REP,71230,667,26908
Delaware,Sussex,DEM,56682,667,26908
Louisiana,Jefferson,REP,105949,668,26908
Louisiana,Jefferson,DEM,84477,668,26908
Alabama,Jefferson,DEM,180936,669,26906
Alabama,Jefferson,REP,138443,669,26906
Kansas,Thomas,REP,3106,670,26903
Kansas,Thomas,DEM,622,670,26903
Mississippi,Rankin,REP,50895,671,26897
Mississippi,Rankin,DEM,18847,671,26897
Kansas,Rawlins,REP,1253,672,26897
Kansas,Rawlins,DEM,214,672,26897
Missouri,Boone,DEM,49999,673,26895
Missouri,Boone,REP,38596,673,26895
South Carolina,Lexington,REP,92817,674,26886
South Carolina,Lexington,DEM,49301,674,26886
Minnesota,Kandiyohi,REP,14437,675,26880
Minnesota,Kandiyohi,DEM,8440,675,26880
Texas,Hays,DEM,59213,676,26873
Texas,Hays,REP,47427,676,26873
Florida,SantaRosa,REP,77349,677,26861
Florida,SantaRosa,DEM,27582,677,26861
Nebraska,Phelps,REP,4157,678,26856
Nebraska,Phelps,DEM,752,678,26856
Illinois,Stark,REP,2000,679,26843
Illinois,Stark,DEM,814,679,26843
Kansas,Sheridan,REP,1237,680,26841
Kansas,Sheridan,DEM,144,680,26841
North Carolina,Brunswick,REP,55373,681,26839
North Carolina,Brunswick,DEM,32984,681,26839
Minnesota,Marshall,REP,3721,682,26834
Minnesota,Marshall,DEM,1295,682,26834
Texas,Carson,REP,2747,683,26827
Texas,Carson,DEM,289,683,26827
Minnesota,McLeod,REP,13986,684,26824
Minnesota,McLeod,DEM,6413,684,26824
Texas,Armstrong,REP,1035,685,26823
Texas,Armstrong,DEM,75,685,26823
Texas,Dallas,DEM,598576,686,26816
Texas,Dallas,REP,307076,686,26816
New Mexico,Bernalillo,DEM,192081,687,26814
New Mexico,Bernalillo,REP,115682,687,26814
Ohio,Butler,REP,111722,688,26813
Ohio,Butler,DEM,67729,688,26813
Kansas,Smith,REP,1734,689,26811
Kansas,Smith,DEM,328,689,26811
Wyoming,Niobrara,REP,1118,690,26797
Wyoming,Niobrara,DEM,155,690,26797
Texas,Blanco,REP,5429,691,26781
Texas,Blanco,DEM,1905,691,26781
Nebraska,Howard,REP,2786,692,26770
Nebraska,Howard,DEM,648,692,26770
Minnesota,Lincoln,REP,2120,693,26767
Minnesota,Lincoln,DEM,937,693,26767
Alabama,Baldwin,REP,83055,694,26766
Alabama,Baldwin,DEM,24344,694,26766
Iowa,Jones,REP,6572,695,26762
Iowa,Jones,DEM,4213,695,26762
Georgia,Coweta,REP,51501,696,26757
Georgia,Coweta,DEM,24210,696,26757
Louisiana,St.Charles,REP,18233,697,26756
Louisiana,St.Charles,DEM,9800,697,26756
Michigan,Macomb,REP,264535,698,26748
Michigan,Macomb,DEM,225561,698,26748
Iowa,Humboldt,REP,3819,699,26746
Iowa,Humboldt,DEM,1442,699,26746
California,Sacramento,DEM,402630,700,26739
California,Sacramento,REP,234854,700,26739
Oregon,Benton,DEM,35780,701,26738
Oregon,Benton,REP,14853,701,26738
Georgia,Glynn,REP,25616,702,26724
Georgia,Glynn,DEM,15879,702,26724
Pennsylvania,Berks,REP,105941,703,26723
Pennsylvania,Berks,DEM,89530,703,26723
Ohio,Licking,REP,57965,704,26716
Ohio,Licking,DEM,32324,704,26716
Nebraska,Hamilton,REP,4297,705,26715
Nebraska,Hamilton,DEM,1117,705,26715
Arkansas,Benton,REP,73965,706,26715
Arkansas,Benton,DEM,42249,706,26715
Nebraska,Garden,REP,1016,707,26715
Nebraska,Garden,DEM,161,707,26715
Illinois,Bureau,REP,10296,708,26705
Illinois,Bureau,DEM,6545,708,26705
Illinois,DeWitt,REP,5623,709,26704
Illinois,DeWitt,DEM,2171,709,26704
Colorado,Mesa,REP,56888,710,26700
Colorado,Mesa,DEM,31533,710,26700
Georgia,Pickens,REP,14075,711,26686
Georgia,Pickens,DEM,2808,711,26686
Minnesota,Nicollet,DEM,9622,712,26674
Minnesota,Nicollet,REP,9018,712,26674
Kentucky,Spencer,REP,8737,713,26666
Kentucky,Spencer,DEM,2530,713,26666
Minnesota,Grant,REP,2269,714,26665
Minnesota,Grant,DEM,1300,714,26665
Virginia,Salem,REP,7685,715,26661
Virginia,Salem,DEM,5148,715,26661
Hawaii,Kauai,DEM,21217,716,26658
Hawaii,Kauai,REP,11579,716,26658
South Carolina,Greenville,REP,150021,717,26643
South Carolina,Greenville,DEM,103030,717,26643
Illinois,Ogle,REP,16092,718,26635
Illinois,Ogle,DEM,9300,718,26635
Texas,Reagan,REP,942,719,26633
Texas,Reagan,DEM,172,719,26633
Wisconsin,Iowa,DEM,7828,720,26625
Wisconsin,Iowa,REP,5909,720,26625
Iowa,Benton,REP,9179,721,26624
Iowa,Benton,DEM,5156,721,26624
Illinois,Mercer,REP,5328,722,26620
Illinois,Mercer,DEM,3212,722,26620
Kansas,Ottawa,REP,2581,723,26614
Kansas,Ottawa,DEM,504,723,26614
Colorado,Garfield,DEM,15427,724,26603
Colorado,Garfield,REP,14717,724,26603
South Dakota,Jerauld,REP,721,725,26590
South Dakota,Jerauld,DEM,270,725,26590
New York,Schoharie,REP,9010,726,26584
New York,Schoharie,DEM,4006,726,26584
Michigan,Eaton,REP,31797,727,26582
Michigan,Eaton,DEM,31297,727,26582
New York,Essex,REP,7953,728,26582
New York,Essex,DEM,6970,728,26582
Florida,Clay,REP,84470,729,26577
Florida,Clay,DEM,38294,729,26577
Minnesota,Brown,REP,9550,730,26576
Minnesota,Brown,DEM,4750,730,26576
Iowa,Cedar,REP,6161,731,26567
Iowa,Cedar,DEM,4337,731,26567
Oklahoma,Oklahoma,REP,145050,732,26561
Oklahoma,Oklahoma,DEM,141724,732,26561
South Carolina,York,REP,82727,733,26553
South Carolina,York,DEM,59008,733,26553
Wyoming,HotSprings,REP,1999,734,26544
Wyoming,HotSprings,DEM,482,734,26544
North Carolina,Forsyth,DEM,113029,735,26541
North Carolina,Forsyth,REP,85060,735,26541
Maryland,Washington,REP,40221,737,26532
Maryland,Washington,DEM,26044,737,26532
Washington,Whatcom,DEM,83342,738,26530
Washington,Whatcom,REP,50311,738,26530
Minnesota,CrowWing,REP,25676,739,26527
Minnesota,CrowWing,DEM,13726,739,26527
Texas,Panola,REP,9322,740,26525
Texas,Panola,DEM,2057,740,26525
Nevada,Humboldt,REP,5877,741,26515
Nevada,Humboldt,DEM,1689,741,26515
Wisconsin,Kenosha,REP,44972,742,26514
Wisconsin,Kenosha,DEM,42191,742,26514
South Dakota,McCook,REP,2068,743,26505
South Dakota,McCook,DEM,769,743,26505
Louisiana,Orleans,DEM,147854,744,26500
Louisiana,Orleans,REP,26664,744,26500
Pennsylvania,Lancaster,REP,159902,745,26496
Pennsylvania,Lancaster,DEM,115294,745,26496
New York,Queens,DEM,412393,746,26495
New York,Queens,REP,181225,746,26495
Minnesota,Martin,REP,7476,747,26472
Minnesota,Martin,DEM,3304,747,26472
North Carolina,Iredell,REP,67010,748,26467
North Carolina,Iredell,DEM,33888,748,26467
North Carolina,Guilford,DEM,171538,749,26461
North Carolina,Guilford,REP,106384,749,26461
Iowa,Washington,REP,6966,750,26459
Iowa,Washington,DEM,4558,750,26459
Illinois,RockIsland,DEM,36647,751,26455
Illinois,RockIsland,REP,28585,751,26455
Minnesota,Houston,REP,6334,752,26450
Minnesota,Houston,DEM,4851,752,26450
Texas,Coke,REP,1565,753,26407
Texas,Coke,DEM,215,753,26407
Minnesota,OtterTail,REP,23794,754,26400
Minnesota,OtterTail,DEM,11940,754,26400
Maryland,Dorchester,REP,8764,755,26388
Maryland,Dorchester,DEM,6857,755,26388
Iowa,Shelby,REP,4697,756,26387
Iowa,Shelby,DEM,1959,756,26387
South Dakota,Minnehaha,REP,49249,757,26380
South Dakota,Minnehaha,DEM,40482,757,26380
Virginia,Highland,REP,1092,758,26372
Virginia,Highland,DEM,417,758,26372
Kansas,Grant,REP,1910,759,26370
Kansas,Grant,DEM,497,759,26370
Wisconsin,FondduLac,REP,35754,760,26368
Wisconsin,FondduLac,DEM,20588,760,26368
Georgia,Lee,REP,12007,761,26357
Georgia,Lee,DEM,4558,761,26357
Iowa,Sac,REP,4061,762,26350
Iowa,Sac,DEM,1389,762,26350
Mississippi,Lamar,REP,20704,763,26345
Mississippi,Lamar,DEM,7340,763,26345
Kansas,Douglas,DEM,39436,764,26342
Kansas,Douglas,REP,16737,764,26342
Wyoming,Platte,REP,3898,765,26335
Wyoming,Platte,DEM,890,765,26335
Texas,Kerr,REP,20858,766,26334
Texas,Kerr,DEM,6510,766,26334
Iowa,Cherokee,REP,4495,767,26330
Iowa,Cherokee,DEM,1936,767,26330
Ohio,Wood,REP,34815,768,26326
Ohio,Wood,DEM,29797,768,26326
Illinois,Washington,REP,6110,769,26325
Illinois,Washington,DEM,1639,769,26325
Georgia,Putnam,REP,8291,770,26321
Georgia,Putnam,DEM,3448,770,26321
North Carolina,Davie,REP,18228,771,26319
North Carolina,Davie,DEM,6713,771,26319
Kansas,Osborne,REP,1590,772,26313
Kansas,Osborne,DEM,275,772,26313
Rhode Island,Providence,DEM,45938,773,26308
Rhode Island,Providence,REP,10185,773,26308
Florida,Charlotte,REP,73202,774,26286
Florida,Charlotte,DEM,42240,774,26286
Kansas,Jefferson,REP,6193,775,26280
Kansas,Jefferson,DEM,3106,775,26280
Montana,Granite,REP,1419,776,26277
Montana,Granite,DEM,638,776,26277
Utah,Morgan,REP,4957,777,26274
Utah,Morgan,DEM,1060,777,26274
Kansas,Scott,REP,1991,778,26274
Kansas,Scott,DEM,290,778,26274
Oregon,Columbia,REP,16779,779,26271
Oregon,Columbia,DEM,13535,779,26271
Wisconsin,LaCrosse,DEM,37846,780,26271
Wisconsin,LaCrosse,REP,28684,780,26271
West Virginia,Berkeley,REP,33279,781,26264
West Virginia,Berkeley,DEM,17186,781,26264
Nevada,Carson,REP,16113,782,26264
Nevada,Carson,DEM,12735,782,26264
Iowa,Delaware,REP,6666,783,26261
Iowa,Delaware,DEM,3157,783,26261
Pennsylvania,Beaver,REP,54108,784,26258
Pennsylvania,Beaver,DEM,37747,784,26258
Iowa,Dubuque,REP,27214,785,26254
Iowa,Dubuque,DEM,25655,785,26254
Wisconsin,Vilas,REP,9261,786,26252
Wisconsin,Vilas,DEM,5903,786,26252
Kentucky,Franklin,REP,12900,787,26243
Kentucky,Franklin,DEM,12650,787,26243
Illinois,St.Clair,DEM,66698,788,26234
Illinois,St.Clair,REP,56000,788,26234
Kansas,Gove,REP,1256,789,26233
Kansas,Gove,DEM,163,789,26233
Illinois,Macon,REP,28373,790,26232
Illinois,Macon,DEM,19633,790,26232
Kansas,Barber,REP,1992,791,26229
Kansas,Barber,DEM,284,791,26229
Kansas,Linn,REP,3940,792,26224
Kansas,Linn,DEM,863,792,26224
Nevada,Clark,DEM,521852,793,26217
Nevada,Clark,REP,430930,793,26217
Kansas,Pratt,REP,3087,794,26209
Kansas,Pratt,DEM,924,794,26209
Vermont,Rutland,DEM,4679,795,26205
Vermont,Rutland,REP,3026,795,26205
Iowa,Greene,REP,3221,796,26205
Iowa,Greene,DEM,1768,796,26205
Virginia,Charles,DEM,2624,797,26198
Virginia,Charles,REP,1761,797,26198
Florida,Leon,DEM,103492,798,26196
Florida,Leon,REP,57446,798,26196
South Dakota,Hyde,REP,564,799,26195
South Dakota,Hyde,DEM,136,799,26195
Nebraska,Lincoln,REP,13071,800,26188
Nebraska,Lincoln,DEM,3692,800,26188
Iowa,Worth,REP,2738,801,26187
Iowa,Worth,DEM,1596,801,26187
Texas,Guadalupe,REP,47423,802,26184
Texas,Guadalupe,DEM,28706,802,26184
Iowa,Harrison,REP,5569,803,26184
Iowa,Harrison,DEM,2440,803,26184
South Dakota,Potter,REP,1139,804,26180
South Dakota,Potter,DEM,227,804,26180
Missouri,Cole,REP,26066,805,26160
Missouri,Cole,DEM,12687,805,26160
North Carolina,Buncombe,DEM,96383,806,26159
North Carolina,Buncombe,REP,62253,806,26159
Florida,Duval,DEM,252450,807,26143
Florida,Duval,REP,233687,807,26143
Ohio,Hancock,REP,25796,808,26139
Ohio,Hancock,DEM,11535,808,26139
North Dakota,Ransom,REP,1418,809,26137
North Dakota,Ransom,DEM,945,809,26137
Ohio,Erie,REP,21724,810,26135
Ohio,Erie,DEM,17142,810,26135
West Virginia,Ohio,REP,12354,811,26135
West Virginia,Ohio,DEM,7223,811,26135
Wisconsin,Sheboygan,REP,37609,812,26126
Wisconsin,Sheboygan,DEM,27101,812,26126
Montana,Dawson,REP,3758,813,26126
Montana,Dawson,DEM,962,813,26126
North Dakota,GoldenValley,REP,871,814,26113
North Dakota,GoldenValley,DEM,137,814,26113
South Dakota,Hutchinson,REP,2944,815,26110
South Dakota,Hutchinson,DEM,762,815,26110
Oklahoma,Beaver,REP,1968,816,26109
Oklahoma,Beaver,DEM,190,816,26109
Utah,SaltLake,DEM,289289,817,26103
Utah,SaltLake,REP,229555,817,26103
Iowa,Franklin,REP,3422,818,26102
Iowa,Franklin,DEM,1626,818,26102
Nebraska,Franklin,REP,1434,819,26095
Nebraska,Franklin,DEM,276,819,26095
Minnesota,Stearns,REP,50960,820,26065
Minnesota,Stearns,DEM,31883,820,26065
Minnesota,Renville,REP,5465,821,26062
Minnesota,Renville,DEM,2497,821,26062
Missouri,Jackson,DEM,198031,822,26062
Missouri,Jackson,REP,125897,822,26062
Virginia,Winchester,DEM,6610,823,26060
Virginia,Winchester,REP,5221,823,26060
Virginia,Nelson,REP,4799,824,26059
Virginia,Nelson,DEM,4307,824,26059
Kansas,Shawnee,DEM,42032,825,26057
Kansas,Shawnee,REP,39890,825,26057
Pennsylvania,Perry,REP,18293,826,26048
Pennsylvania,Perry,DEM,5950,826,26048
Minnesota,Koochiching,REP,4131,827,26045
Minnesota,Koochiching,DEM,2657,827,26045
Utah,Davis,REP,103255,828,26035
Utah,Davis,DEM,57029,828,26035
Ohio,Lorain,REP,76719,829,26030
Ohio,Lorain,DEM,72792,829,26030
Minnesota,Lyon,REP,7979,830,26028
Minnesota,Lyon,DEM,4630,830,26028
South Dakota,Hand,REP,1433,831,26027
South Dakota,Hand,DEM,373,831,26027
Oklahoma,Woods,REP,2993,832,26022
Oklahoma,Woods,DEM,591,832,26022
Minnesota,BigStone,REP,1862,833,26019
Minnesota,BigStone,DEM,1052,833,26019
Minnesota,Chippewa,REP,4250,834,25993
Minnesota,Chippewa,DEM,2226,834,25993
New York,Niagara,REP,51355,835,25991
New York,Niagara,DEM,34809,835,25991
Wisconsin,Sauk,DEM,18108,836,25988
Wisconsin,Sauk,REP,17493,836,25988
Iowa,Story,DEM,29175,837,25986
Iowa,Story,REP,20340,837,25986
Illinois,Marshall,REP,4196,838,25975
Illinois,Marshall,DEM,2004,838,25975
Iowa,Clinton,REP,13349,839,25966
Iowa,Clinton,DEM,10806,839,25966
Arkansas,Saline,REP,39519,840,25962
Arkansas,Saline,DEM,16042,840,25962
Wisconsin,Wood,REP,24307,841,25961
Wisconsin,Wood,DEM,16360,841,25961
Kentucky,McCracken,REP,21820,842,25957
Kentucky,McCracken,DEM,11190,842,25957
Wisconsin,Waupaca,REP,18952,843,25956
Wisconsin,Waupaca,DEM,9703,843,25956
Wyoming,Carbon,REP,5014,844,25947
Wyoming,Carbon,DEM,1427,844,25947
Minnesota,St.Louis,DEM,67836,845,25946
Minnesota,St.Louis,REP,49214,845,25946
California,Tuolumne,REP,17302,846,25943
California,Tuolumne,DEM,11808,846,25943
Wisconsin,Oconto,REP,16226,847,25941
Wisconsin,Oconto,DEM,6715,847,25941
Michigan,Monroe,REP,52710,848,25939
Michigan,Monroe,DEM,32975,848,25939
Colorado,Jackson,REP,681,849,25936
Colorado,Jackson,DEM,175,849,25936
Georgia,Morgan,REP,8230,850,25933
Georgia,Morgan,DEM,3355,850,25933
Georgia,Gwinnett,DEM,241827,851,25932
Georgia,Gwinnett,REP,166413,851,25932
Montana,Garfield,REP,764,852,25921
Montana,Garfield,DEM,41,852,25921
South Dakota,Walworth,REP,1966,853,25915
South Dakota,Walworth,DEM,565,853,25915
California,SanBenito,DEM,17315,854,25914
California,SanBenito,REP,10412,854,25914
Illinois,Henderson,REP,2391,855,25902
Illinois,Henderson,DEM,1186,855,25902
Nebraska,Wheeler,REP,438,856,25898
Nebraska,Wheeler,DEM,59,856,25898
Washington,Chelan,REP,22476,857,25893
Washington,Chelan,DEM,19005,857,25893
Michigan,Kent,DEM,186753,858,25889
Michigan,Kent,REP,165318,858,25889
Illinois,Boone,REP,13762,859,25888
Illinois,Boone,DEM,10372,859,25888
Texas,Austin,REP,11282,860,25884
Texas,Austin,DEM,2931,860,25884
Iowa,Ida,REP,2876,861,25869
Iowa,Ida,DEM,917,861,25869
Texas,Clay,REP,5064,862,25867
Texas,Clay,DEM,614,862,25867
Washington,Clallam,DEM,24532,863,25865
Washington,Clallam,REP,22912,863,25865
Nebraska,Otoe,REP,5649,864,25855
Nebraska,Otoe,DEM,2490,864,25855
North Carolina,Currituck,REP,11657,865,25854
North Carolina,Currituck,DEM,4195,865,25854
Iowa,Pottawattamie,REP,26241,866,25847
Iowa,Pottawattamie,DEM,18570,866,25847
West Virginia,Monongalia,REP,20803,867,25846
West Virginia,Monongalia,DEM,20282,867,25846
Florida,Walton,REP,32942,868,25845
Florida,Walton,DEM,10336,868,25845
Wyoming,Lincoln,REP,8643,869,25834
Wyoming,Lincoln,DEM,1509,869,25834
Indiana,Brown,REP,5725,870,25833
Indiana,Brown,DEM,2996,870,25833
Iowa,Wright,REP,4136,871,25827
Iowa,Wright,DEM,1996,871,25827
Wisconsin,Manitowoc,REP,27218,872,25825
Wisconsin,Manitowoc,DEM,16818,872,25825
South Dakota,Sanborn,REP,905,873,25823
South Dakota,Sanborn,DEM,257,873,25823
Massachusetts,Hampden,REP,1709,874,25817
Massachusetts,Hampden,DEM,1532,874,25817
Washington,Lincoln,REP,5134,875,25816
Washington,Lincoln,DEM,1711,875,25816
Iowa,Hancock,REP,4390,876,25814
Iowa,Hancock,DEM,1683,876,25814
Nebraska,Banner,REP,362,877,25814
Nebraska,Banner,DEM,43,877,25814
Kansas,Barton,REP,8480,878,25800
Kansas,Barton,DEM,2302,878,25800
Minnesota,Polk,REP,9857,879,25790
Minnesota,Polk,DEM,5435,879,25790
Montana,Flathead,REP,38321,880,25790
Montana,Flathead,DEM,20274,880,25790
Minnesota,Sibley,REP,5864,881,25789
Minnesota,Sibley,DEM,2417,881,25789
Idaho,Valley,REP,3947,882,25785
Idaho,Valley,DEM,2976,882,25785
Indiana,Morgan,REP,27510,883,25781
Indiana,Morgan,DEM,7777,883,25781
Utah,Wasatch,REP,10542,884,25777
Utah,Wasatch,DEM,6090,884,25777
South Dakota,Edmunds,REP,1538,885,25775
South Dakota,Edmunds,DEM,417,885,25775
Oklahoma,Kingfisher,REP,5521,886,25773
Oklahoma,Kingfisher,DEM,854,886,25773
Maine,Kennebec,,,887,25770
Iowa,Calhoun,REP,3689,888,25766
Iowa,Calhoun,DEM,1470,888,25766
Montana,Missoula,DEM,43357,889,25764
Montana,Missoula,REP,26347,889,25764
South Carolina,Richland,DEM,132570,890,25763
South Carolina,Richland,REP,58313,890,25763
Colorado,Custer,REP,2471,891,25761
Colorado,Custer,DEM,1111,891,25761
Michigan,Kalamazoo,DEM,83674,892,25757
Michigan,Kalamazoo,REP,56823,892,25757
South Dakota,Haakon,REP,1026,893,25754
South Dakota,Haakon,DEM,105,893,25754
Wisconsin,Polk,REP,16611,894,25751
Wisconsin,Polk,DEM,9370,894,25751
South Dakota,Perkins,REP,1401,895,25751
South Dakota,Perkins,DEM,239,895,25751
Minnesota,Swift,REP,3316,896,25750
Minnesota,Swift,DEM,1784,896,25750
Louisiana,Plaquemines,REP,7412,897,25748
Louisiana,Plaquemines,DEM,3414,897,25748
Pennsylvania,Franklin,REP,57308,898,25741
Pennsylvania,Franklin,DEM,22468,898,25741
Nebraska,Cedar,REP,4174,899,25738
Nebraska,Cedar,DEM,725,899,25738
Minnesota,Waseca,REP,6624,900,25723
Minnesota,Waseca,DEM,3496,900,25723
Virginia,Caroline,REP,8336,901,25718
Virginia,Caroline,DEM,7657,901,25718
Illinois,Champaign,DEM,55173,902,25713
Illinois,Champaign,REP,34774,902,25713
Illinois,LaSalle,REP,29482,903,25709
Illinois,LaSalle,DEM,21491,903,25709
New York,Greene,REP,12722,904,25700
New York,Greene,DEM,7675,904,25700
New Mexico,Harding,REP,319,905,25686
New Mexico,Harding,DEM,179,905,25686
Montana,Valley,REP,3135,906,25685
Montana,Valley,DEM,1030,906,25685
Oregon,Clatsop,DEM,12896,907,25680
Oregon,Clatsop,REP,10205,907,25680
North Carolina,Henderson,REP,40032,908,25670
North Carolina,Henderson,DEM,27211,908,25670
Minnesota,Freeborn,REP,9578,909,25668
Minnesota,Freeborn,DEM,6889,909,25668
Minnesota,Meeker,REP,9358,910,25665
Minnesota,Meeker,DEM,3867,910,25665
Texas,Wise,REP,26986,911,25663
Texas,Wise,DEM,4953,911,25663
Texas,Ellis,REP,56651,912,25662
Texas,Ellis,DEM,27513,912,25662
Washington,Spokane,REP,148049,913,25661
Washington,Spokane,DEM,135332,913,25661
Minnesota,Roseau,REP,6065,914,25650
Minnesota,Roseau,DEM,2188,914,25650
Minnesota,Redwood,REP,5775,915,25649
Minnesota,Redwood,DEM,2358,915,25649
Virginia,Rockbridge,REP,8047,916,25638
Virginia,Rockbridge,DEM,4022,916,25638
Kentucky,Jessamine,REP,17096,917,25637
Kentucky,Jessamine,DEM,8567,917,25637
Minnesota,Watonwan,REP,3103,918,25635
Minnesota,Watonwan,DEM,1987,918,25635
Texas,Smith,REP,68546,919,25626
Texas,Smith,DEM,29343,919,25626
Wisconsin,Jefferson,REP,27209,920,25625
Wisconsin,Jefferson,DEM,19904,920,25625
North Carolina,Camden,REP,4312,921,25620
North Carolina,Camden,DEM,1537,921,25620
Oklahoma,Logan,REP,15608,922,25620
Oklahoma,Logan,DEM,5455,922,25620
Kansas,Sedgwick,REP,117653,923,25603
Kansas,Sedgwick,DEM,90820,923,25603
Indiana,Newton,REP,4942,924,25594
Indiana,Newton,DEM,1509,924,25594
Pennsylvania,Lackawanna,DEM,61768,925,25594
Pennsylvania,Lackawanna,REP,52206,925,25594
Nebraska,Boone,REP,2653,926,25590
Nebraska,Boone,DEM,499,926,25590
Indiana,Dubois,REP,15032,927,25589
Indiana,Dubois,DEM,6292,927,25589
South Dakota,Codington,REP,8958,928,25582
South Dakota,Codington,DEM,3837,928,25582
Nebraska,Adams,REP,10085,929,25571
Nebraska,Adams,DEM,4213,929,25571
Iowa,Adair,REP,2917,930,25564
Iowa,Adair,DEM,1197,930,25564
Texas,Hardin,REP,23806,931,25559
Texas,Hardin,DEM,3449,931,25559
Iowa,Pocahontas,REP,2825,932,25556
Iowa,Pocahontas,DEM,932,932,25556
North Carolina,Lincoln,REP,36341,933,25550
North Carolina,Lincoln,DEM,13274,933,25550
Tennessee,Shelby,DEM,245208,934,25549
Tennessee,Shelby,REP,129543,934,25549
Pennsylvania,Centre,DEM,40054,935,25545
Pennsylvania,Centre,REP,36371,935,25545
Kansas,Gray,REP,1871,936,25537
Kansas,Gray,DEM,337,936,25537
Kansas,Republic,REP,2172,937,25531
Kansas,Republic,DEM,420,937,25531
California,Alpine,DEM,473,938,25527
California,Alpine,REP,238,938,25527
Kentucky,Trigg,REP,5487,939,25527
Kentucky,Trigg,DEM,1791,939,25527
Montana,Liberty,REP,821,940,25522
Montana,Liberty,DEM,249,940,25522
Virginia,Augusta,REP,30714,941,25519
Virginia,Augusta,DEM,10840,941,25519
Wyoming,Uinta,REP,7496,942,25513
Wyoming,Uinta,DEM,1591,942,25513
Pennsylvania,Monroe,DEM,43884,943,25494
Pennsylvania,Monroe,REP,38642,943,25494
Minnesota,Isanti,REP,16491,944,25482
Minnesota,Isanti,DEM,7138,944,25482
Ohio,Putnam,REP,16218,945,25481
Ohio,Putnam,DEM,3152,945,25481
Iowa,Marion,REP,12657,946,25477
Iowa,Marion,DEM,6170,946,25477
Colorado,Weld,REP,96133,947,25468
Colorado,Weld,DEM,66050,947,25468
Illinois,Jersey,REP,8699,948,25467
Illinois,Jersey,DEM,2956,948,25467
Nebraska,Fillmore,REP,2359,949,25460
Nebraska,Fillmore,DEM,693,949,25460
Minnesota,Becker,REP,12452,950,25455
Minnesota,Becker,DEM,6592,950,25455
New Mexico,Lincoln,REP,6942,951,25449
New Mexico,Lincoln,DEM,3194,951,25449
Illinois,Ford,REP,4956,952,25448
Illinois,Ford,DEM,1691,952,25448
Iowa,Cass,REP,4969,953,25448
Iowa,Cass,DEM,2201,953,25448
Indiana,Ohio,REP,2392,954,25443
Indiana,Ohio,DEM,750,954,25443
Texas,Shackelford,REP,1484,955,25436
Texas,Shackelford,DEM,130,955,25436
Iowa,Carroll,REP,7737,956,25430
Iowa,Carroll,DEM,3454,956,25430
Kansas,Wallace,REP,762,957,25429
Kansas,Wallace,DEM,44,957,25429
North Dakota,McIntosh,REP,1153,958,25427
North Dakota,McIntosh,DEM,261,958,25427
Nebraska,Pawnee,REP,1071,959,25426
Nebraska,Pawnee,DEM,322,959,25426
Illinois,Lee,REP,9584,960,25409
Illinois,Lee,DEM,6368,960,25409
South Dakota,Turner,REP,3290,961,25406
South Dakota,Turner,DEM,1139,961,25406
New York,Genesee,REP,17340,962,25403
