state,county,state_id,county_id,DEM_votes,REP_votes,normalized_election_outcome,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Illinois,Ford,17.0,53.0,4956.0,1691.0,0.7455995185798104,13470,6647,6823,3.0,94.3,0.9,0.4,0.5,0.0,10284,50851,26611,15.7,26.7,31.1,17.2,19.8,13.6,18.4,79.3,10.1,0.1,4.5,1.1,4.9,22.3,6177,78.2,11.0,10.7,0.2,6.6
Illinois,Williamson,17.0,199.0,22681.0,10107.0,0.6917469806026595,67477,33646,33831,2.5,90.1,4.0,0.2,1.0,0.0,52191,48600,26023,15.2,21.9,32.3,21.3,24.5,9.2,12.8,85.1,7.7,0.5,1.6,0.9,4.1,21.8,28720,73.5,20.7,5.7,0.1,6.9
Illinois,Monroe,17.0,133.0,14046.0,6489.0,0.6840029218407597,33739,16585,17154,1.5,96.5,0.4,0.1,0.7,0.0,25840,74410,37043,5.3,5.5,41.1,14.8,24.6,10.1,9.4,84.6,7.3,0.3,1.2,0.7,5.9,28.4,17657,83.7,11.9,4.3,0.1,4.4
Illinois,Richland,17.0,159.0,7988.0,1355.0,0.8549716365193193,15953,7919,8034,1.7,95.6,0.4,0.3,0.7,0.0,12282,46454,25262,15.0,20.0,28.6,16.8,21.0,10.4,23.2,82.6,11.8,0.4,1.7,0.9,2.6,19.2,7229,81.0,12.6,6.3,0.1,6.3
Illinois,Crawford,17.0,33.0,7025.0,2198.0,0.7616827496476201,19214,10067,9147,2.9,91.0,4.1,0.1,0.4,0.0,15335,47468,25955,11.9,12.9,28.6,16.1,21.5,11.3,22.4,84.3,10.6,0.3,1.6,0.8,2.4,15.8,8102,80.2,13.6,6.0,0.2,6.2
Illinois,Jersey,17.0,83.0,8699.0,2956.0,0.7463749463749464,22215,10855,11360,1.3,96.1,0.5,0.1,0.4,0.1,17308,56320,27528,9.4,11.4,33.0,18.3,23.0,10.2,15.5,84.1,7.8,0.1,3.5,0.4,4.0,28.6,10387,83.5,10.0,6.3,0.3,6.3
Illinois,Franklin,17.0,55.0,13514.0,4690.0,0.7423643155350472,39302,19302,20000,1.6,96.0,0.6,0.2,0.5,0.1,30423,39454,22346,19.9,27.0,25.8,20.9,22.2,13.5,17.7,82.9,11.1,0.3,1.1,1.6,2.9,24.8,15466,77.9,15.7,6.2,0.3,8.9
Illinois,Perry,17.0,145.0,7305.0,2609.0,0.7368367964494654,21467,11832,9635,3.0,86.3,8.7,0.3,0.6,0.0,17213,45864,23929,14.7,19.5,24.1,20.8,18.0,16.8,20.3,84.8,11.2,0.4,1.0,0.3,2.3,25.0,8236,80.0,15.3,4.7,0.0,6.7
Illinois,Marshall,17.0,123.0,4196.0,2004.0,0.6767741935483871,11925,5938,5987,3.1,94.9,0.4,0.1,0.3,0.2,9433,55173,29025,10.3,15.2,29.4,19.4,20.3,11.4,19.5,82.8,9.8,0.0,2.7,1.1,3.6,27.7,5514,82.5,9.9,7.2,0.3,6.2
Illinois,Boone,17.0,7.0,13762.0,10372.0,0.5702328664954007,53638,26755,26883,21.0,74.0,2.1,0.3,1.2,0.0,36775,62701,29029,10.6,14.9,29.0,15.5,23.1,11.6,20.8,84.2,9.0,0.3,0.7,0.5,5.3,29.0,25060,83.7,9.4,6.9,0.0,8.1
Illinois,Piatt,17.0,147.0,6219.0,3302.0,0.6531876903686588,16433,8122,8311,1.3,92.7,1.1,0.1,0.4,0.0,12610,67360,33672,5.4,8.1,36.3,16.3,21.9,12.0,13.5,84.8,9.1,0.8,1.4,0.8,3.2,23.2,8673,73.9,17.9,7.6,0.5,4.5
Illinois,Union,17.0,181.0,6157.0,2575.0,0.7051076500229042,17267,8712,8555,5.0,91.4,0.7,0.0,0.2,0.0,13300,46716,24646,16.8,19.7,31.1,20.7,17.6,13.2,17.4,82.3,9.6,0.6,0.5,1.8,5.1,24.6,7245,69.9,22.4,6.9,0.8,5.3
Illinois,Mason,17.0,125.0,4645.0,1984.0,0.7007090058832403,13904,6948,6956,1.0,96.7,0.6,0.1,0.2,0.0,10973,44695,25952,13.9,21.4,28.4,17.5,22.7,13.1,18.2,82.0,10.3,0.1,3.8,1.3,2.6,26.9,6173,76.2,16.3,7.5,0.0,8.0
Illinois,Kendall,17.0,93.0,28515.0,31394.0,0.4759718907008964,122933,60801,62132,17.6,71.2,6.4,0.1,3.2,0.0,82182,89860,33369,5.6,7.4,38.2,13.8,26.7,9.2,12.1,83.4,7.2,3.1,0.6,0.9,4.8,33.0,63352,85.3,11.7,2.8,0.2,5.0
Illinois,De Witt,17.0,39.0,5623.0,2171.0,0.7214523992814986,16176,8085,8091,2.6,89.1,0.4,0.2,0.1,0.2,12510,55411,27866,13.3,21.3,29.5,17.8,25.0,11.6,16.2,84.8,7.3,0.1,1.4,1.5,4.8,21.9,8112,75.3,15.7,8.6,0.4,6.6
Illinois,Grundy,17.0,63.0,16372.0,9445.0,0.6341557888213193,50333,25154,25179,9.4,87.1,1.3,0.0,0.7,0.0,36895,71598,31914,9.4,11.2,30.5,15.0,24.2,12.8,17.5,87.6,6.4,0.6,0.5,1.0,3.9,28.7,24608,84.8,11.8,3.5,0.0,5.8
Illinois,Moultrie,17.0,139.0,4938.0,1645.0,0.7501139298192313,14711,7173,7538,1.2,97.0,0.6,0.2,0.2,0.0,10936,53979,26166,12.1,17.8,29.0,14.2,21.0,9.4,26.4,79.0,8.3,0.0,2.5,4.2,5.9,22.3,6993,82.1,9.6,8.0,0.3,3.0
Illinois,Schuyler,17.0,169.0,2767.0,1064.0,0.7222657269642391,7181,3894,3287,0.3,93.4,5.5,0.0,0.0,0.0,5826,47321,23670,21.5,17.7,27.9,21.8,23.7,10.4,16.2,80.6,10.9,0.5,3.3,0.1,4.6,24.1,2919,69.9,21.8,8.3,0.0,6.9
Illinois,Calhoun,17.0,13.0,2043.0,674.0,0.7519322782480677,4897,2453,2444,1.1,96.7,0.3,0.1,0.9,0.0,3855,53641,25660,12.8,15.1,31.2,21.5,16.9,17.0,13.4,82.1,8.2,1.2,2.2,0.7,5.6,39.6,2166,76.2,14.0,9.1,0.6,3.7
Illinois,Hamilton,17.0,65.0,3429.0,821.0,0.8068235294117647,8259,4045,4214,0.3,98.9,0.6,0.1,0.1,0.0,6401,47293,25945,13.9,18.5,30.2,18.6,21.6,14.4,15.3,79.3,11.8,1.9,1.9,0.8,4.2,27.7,3751,77.1,14.6,8.0,0.3,4.0
Illinois,Henderson,17.0,71.0,2391.0,1186.0,0.6684372379088622,6927,3404,3523,1.5,96.3,0.1,0.3,0.7,0.0,5584,47428,27949,11.3,22.8,25.0,21.4,18.3,12.9,22.4,85.4,6.5,0.4,2.2,0.8,4.7,24.8,3331,76.7,14.3,8.3,0.7,6.0
Illinois,Johnson,17.0,87.0,5052.0,1280.0,0.7978521794061908,12899,7342,5557,3.3,84.7,11.1,0.1,0.1,0.0,10465,45743,20726,13.9,15.8,36.4,20.3,21.3,10.9,11.2,83.4,5.2,0.1,4.2,1.3,5.9,25.0,4165,67.8,25.2,6.7,0.3,7.5
Illinois,Saline,17.0,165.0,8096.0,2786.0,0.7439808858665686,24430,12028,12402,1.7,91.6,3.4,0.1,0.7,0.0,18981,40722,22725,20.6,27.0,26.8,22.5,22.9,13.3,14.5,86.3,9.6,0.5,1.5,0.6,1.5,23.1,9723,76.0,17.4,6.2,0.5,11.3
Illinois,Massac,17.0,127.0,4989.0,1719.0,0.7437388193202147,14594,7017,7577,2.7,88.7,6.1,0.1,0.2,0.0,11338,42168,23434,18.4,24.2,26.8,20.9,24.5,12.6,15.2,86.5,7.6,0.9,1.5,1.2,2.4,20.7,5563,81.0,13.7,5.1,0.1,7.9
Illinois,White,17.0,193.0,5788.0,1517.0,0.7923340177960301,14186,6957,7229,1.4,96.6,0.4,0.1,0.7,0.1,10948,46279,26522,13.9,19.2,28.8,16.6,20.0,14.5,20.0,84.3,9.8,0.6,1.9,0.5,3.0,24.8,6006,78.8,12.1,9.2,0.0,8.2
Illinois,Cass,17.0,17.0,3624.0,1615.0,0.6917350639435007,12880,6529,6351,18.8,76.2,3.9,0.0,0.3,0.0,8802,50156,25451,13.1,16.7,23.8,16.4,21.1,11.1,27.6,77.8,12.8,0.4,3.3,1.5,4.2,20.5,6152,77.3,14.4,8.0,0.3,6.9
Illinois,Menard,17.0,129.0,4722.0,2003.0,0.7021561338289963,12416,6080,6336,1.4,95.8,0.5,0.1,0.3,0.4,9611,62368,32839,11.4,22.0,38.7,16.7,24.0,12.5,8.2,82.5,10.3,0.1,1.6,0.7,4.9,27.6,6091,71.8,22.8,5.1,0.3,4.6
Illinois,Brown,17.0,9.0,1930.0,485.0,0.7991718426501035,6791,4360,2431,3.6,73.6,21.3,0.0,0.6,0.0,5636,56289,21906,11.6,15.1,27.4,17.0,28.1,7.9,19.6,84.3,5.5,0.3,1.6,0.6,7.7,16.6,2418,71.0,17.7,9.8,1.5,4.7
Illinois,Lawrence,17.0,101.0,4849.0,1414.0,0.7742296024269519,16457,9034,7423,3.8,84.6,8.6,0.3,0.4,0.0,13094,44504,21072,16.4,25.8,30.8,21.9,17.7,10.2,19.4,80.9,9.9,0.3,2.7,1.2,5.0,19.0,6361,78.6,11.7,9.4,0.2,5.4
Illinois,Stark,17.0,175.0,2000.0,814.0,0.7107320540156361,5551,2739,2812,1.4,96.1,0.7,0.0,0.8,0.0,4295,52284,30009,14.0,25.6,35.5,16.9,18.8,11.8,17.0,78.7,8.5,0.5,3.4,1.0,7.9,24.7,2583,77.1,11.1,10.4,1.4,4.8
Illinois,Edwards,17.0,47.0,2833.0,488.0,0.8530563083408612,6570,3218,3352,1.3,96.7,0.4,0.0,0.9,0.0,5022,49632,26549,11.5,18.5,25.1,13.9,22.2,15.0,23.8,84.9,7.5,0.1,2.3,0.8,4.3,20.9,3136,82.7,9.2,8.0,0.0,6.1
Illinois,Scott,17.0,171.0,2104.0,569.0,0.7871305649083427,5109,2503,2606,1.2,97.2,0.1,0.5,0.1,0.1,3948,48542,26918,14.9,19.3,30.2,16.4,21.3,11.9,20.2,81.3,11.1,0.9,2.6,0.5,3.5,25.1,2349,78.2,12.7,8.9,0.2,8.8
Illinois,Lake,17.0,97.0,120938.0,196479.0,0.3810066883626271,704476,351847,352629,21.1,62.8,6.6,0.1,7.1,0.0,466915,82613,42388,8.5,11.5,42.3,15.3,24.8,5.9,11.6,77.0,8.0,4.4,2.8,1.2,6.5,30.0,347792,85.7,9.7,4.4,0.3,6.3
Illinois,Pope,17.0,151.0,1720.0,432.0,0.7992565055762082,4360,2322,2038,1.9,90.5,4.9,0.2,1.0,0.0,3649,41139,22191,12.7,18.5,22.1,25.6,16.8,14.3,21.3,82.9,6.2,0.9,1.7,2.4,5.9,33.1,1330,76.1,16.7,7.2,0.0,9.1
Illinois,Wabash,17.0,185.0,4228.0,1248.0,0.7720964207450693,11568,5684,5884,2.0,94.9,0.8,0.1,1.2,0.0,8845,49716,25105,13.1,14.8,27.9,17.7,16.8,13.2,24.4,83.6,11.6,0.1,0.5,0.6,3.4,20.3,5291,80.5,11.5,7.7,0.3,7.6
Illinois,Gallatin,17.0,59.0,2019.0,621.0,0.7647727272727273,5226,2475,2751,1.1,95.8,0.3,0.5,0.3,0.0,4100,42450,24538,16.6,27.7,33.8,17.6,19.0,12.4,17.2,87.7,8.0,0.2,0.3,2.2,1.5,27.2,2133,75.6,16.0,8.2,0.2,7.8
Illinois,Pulaski,17.0,153.0,1699.0,891.0,0.655984555984556,5691,2760,2931,2.1,63.6,30.5,0.2,0.3,0.0,4423,34655,20195,17.1,23.1,30.2,29.1,15.8,9.6,15.4,85.3,4.1,0.4,2.4,2.2,5.6,27.5,1971,68.1,24.5,7.4,0.1,10.4
Illinois,Cook,17.0,31.0,546789.0,1682455.0,0.24528001421109574,5238541,2540704,2697837,25.1,42.7,23.4,0.1,6.9,0.0,3538445,59426,33722,15.9,23.0,39.3,17.9,23.6,6.0,13.1,61.7,8.1,18.9,4.4,2.4,4.5,32.9,2521437,84.2,11.1,4.6,0.1,8.7
Illinois,Putnam,17.0,155.0,1978.0,1309.0,0.6017645269242471,5771,2957,2814,5.3,92.4,0.3,0.0,0.4,0.0,4532,64741,33697,8.9,20.2,31.8,17.5,16.7,13.0,21.0,88.1,6.7,0.0,1.7,1.0,2.5,23.7,2983,81.8,12.6,5.7,0.0,5.2
Illinois,Alexander,17.0,3.0,3056.0,2522.0,0.5478666188598064,6776,3258,3518,1.0,61.8,34.6,0.6,0.2,0.0,5100,31014,18564,33.4,59.3,26.8,27.8,25.9,4.9,14.6,87.7,5.8,0.8,1.7,1.4,2.6,27.3,2164,75.0,20.6,4.4,0.0,8.2
Illinois,DuPage,17.0,43.0,192426.0,279251.0,0.4079613803513845,931826,457327,474499,14.1,67.9,4.6,0.1,11.3,0.0,646717,84442,42050,6.8,9.0,45.5,13.0,25.6,5.4,10.5,77.4,7.1,6.8,1.6,1.1,6.0,29.3,486850,86.7,9.1,4.1,0.2,5.2
Indiana,Elkhart,18.0,39.0,46972.0,26108.0,0.6427476737821566,202924,100359,102565,15.4,75.3,5.4,0.1,1.0,0.0,135371,52449,23817,13.8,19.3,25.5,14.2,21.6,7.3,31.5,77.6,14.0,0.4,1.7,2.7,3.5,19.4,94516,87.1,7.8,4.9,0.2,5.6
Indiana,LaGrange,18.0,87.0,8110.0,2355.0,0.774964166268514,38720,19659,19061,3.9,94.4,0.1,0.1,0.2,0.0,25367,58336,22780,9.1,11.6,20.8,11.1,16.0,10.7,41.5,53.2,26.9,0.2,4.0,10.4,5.3,22.9,16479,88.0,5.5,6.0,0.4,2.9
Indiana,Allen,18.0,3.0,92083.0,73189.0,0.5571603175371509,367747,179414,188333,7.2,74.6,11.3,0.2,3.5,0.0,260663,51091,26932,14.7,22.0,33.7,16.5,24.3,7.6,17.9,84.3,8.7,0.8,1.2,0.9,4.0,21.3,176365,87.2,8.6,4.1,0.1,6.3
Indiana,Harrison,18.0,61.0,14565.0,5343.0,0.7316154309825196,39450,19790,19660,1.7,95.7,0.2,0.6,0.4,0.0,30330,53897,25993,12.9,14.2,29.0,16.6,23.4,10.1,20.9,86.3,7.7,0.1,1.2,0.8,3.8,29.4,17769,84.4,12.3,3.2,0.2,6.6
Indiana,Daviess,18.0,27.0,9576.0,2169.0,0.8153256704980842,32777,16600,16177,4.8,92.3,1.6,0.0,0.2,0.0,22578,48355,21794,13.0,14.7,25.0,15.4,19.3,17.4,22.9,76.2,15.4,0.3,2.9,2.8,2.3,25.5,14200,81.1,12.6,6.0,0.2,5.4
Indiana,Adams,18.0,1.0,10685.0,3236.0,0.7675454349543854,35018,17361,17657,4.4,93.7,0.9,0.0,0.4,0.0,23929,48290,21534,18.9,29.8,24.2,15.9,19.6,13.9,26.3,74.3,16.7,0.0,2.6,1.9,4.5,22.8,14954,83.1,8.2,8.1,0.6,5.2
Indiana,Kosciusko,18.0,85.0,26476.0,8350.0,0.7602366048354677,78720,39206,39514,7.9,88.6,0.7,0.2,1.0,0.0,57371,57190,27884,11.2,16.1,28.6,13.3,21.1,8.9,28.1,80.8,11.7,0.1,1.7,2.0,3.6,19.7,38265,88.2,6.5,5.1,0.1,4.6
Indiana,Noble,18.0,113.0,14195.0,4660.0,0.7528507027313709,47421,23797,23624,10.2,87.6,0.4,0.0,0.6,0.0,33993,52393,25260,9.3,12.0,23.9,14.0,17.2,10.4,34.4,84.0,10.4,0.0,1.9,1.3,2.4,21.9,22593,87.0,7.7,5.1,0.2,5.7
Indiana,Washington,18.0,175.0,9114.0,2784.0,0.7660110943015633,27807,13783,14024,1.3,96.9,0.1,0.3,0.2,0.0,21238,46861,23223,13.3,17.7,28.0,13.1,18.7,14.4,25.8,82.0,10.9,0.1,1.1,0.9,4.9,31.4,11952,82.8,9.9,7.2,0.1,7.0
Indiana,Marshall,18.0,99.0,13844.0,5712.0,0.707915729187973,46752,23252,23500,9.7,88.0,0.6,0.1,0.5,0.0,33572,51869,24289,11.5,14.4,26.6,13.8,20.3,9.3,30.0,79.6,11.2,0.4,2.6,2.7,3.5,22.4,21353,86.5,7.7,5.7,0.1,6.8
Indiana,Greene,18.0,55.0,11103.0,3389.0,0.7661468396356611,32431,16040,16391,1.3,96.8,0.2,0.0,0.4,0.0,25096,49648,24744,12.9,15.9,29.3,18.7,22.4,12.2,17.4,89.0,7.8,0.1,1.4,1.0,0.7,28.7,14248,75.0,19.0,5.9,0.1,6.2
Indiana,Ripley,18.0,137.0,11261.0,2774.0,0.8023512646954043,28372,14065,14307,1.8,95.6,0.5,0.5,1.0,0.0,21341,53698,25385,10.5,15.7,27.7,16.3,20.4,13.1,22.6,85.1,7.6,0.2,1.5,1.4,4.1,27.2,13646,82.9,11.0,5.7,0.4,5.7
Indiana,Jefferson,18.0,77.0,9659.0,4731.0,0.6712300208478111,32293,15417,16876,2.6,93.0,2.0,0.2,0.8,0.0,25427,50722,25429,13.7,19.6,30.0,16.0,17.7,9.5,26.7,83.2,8.1,0.4,3.0,1.3,3.9,24.2,14465,82.8,12.7,3.7,0.7,6.9
Indiana,Randolph,18.0,135.0,8312.0,2512.0,0.7679231337767923,25203,12278,12925,3.3,93.9,0.7,0.0,0.2,0.0,18970,44985,23427,17.0,24.9,26.0,15.5,19.3,12.4,26.8,81.2,11.2,0.4,1.6,1.0,4.7,24.5,11436,82.2,10.3,7.1,0.4,5.6
Indiana,Lawrence,18.0,93.0,15601.0,4961.0,0.7587296955549071,45669,22621,23048,1.6,95.9,0.3,0.4,0.4,0.0,35199,49985,25036,11.5,16.9,29.9,18.0,24.3,9.9,17.9,86.2,9.0,0.1,1.2,0.6,2.9,23.6,20577,78.3,16.4,5.2,0.0,5.2
Indiana,Jay,18.0,75.0,6361.0,1926.0,0.7675877881018462,21107,10360,10747,3.0,95.1,0.3,0.1,0.5,0.0,15490,42878,20193,17.9,24.8,22.4,15.6,16.3,14.2,31.4,79.2,10.0,0.6,2.2,2.2,5.9,19.6,9315,81.3,9.6,8.4,0.7,6.1
Indiana,Henry,18.0,65.0,15043.0,5543.0,0.7307393374137764,48649,25252,23397,1.7,93.8,2.3,0.2,0.5,0.0,38363,46131,23293,16.1,25.0,28.9,17.9,23.5,9.3,20.5,85.3,8.3,0.2,1.3,0.9,3.9,26.8,20044,80.3,12.4,7.0,0.3,7.0
Indiana,Jackson,18.0,71.0,14555.0,4302.0,0.771861908044758,43779,21861,21918,6.4,89.3,1.1,0.3,1.9,0.0,31621,49080,23260,15.6,19.4,27.8,15.6,22.9,9.0,24.7,83.7,10.0,0.4,1.6,2.4,1.9,20.5,20125,84.9,9.9,4.7,0.5,6.2
Indiana,Dubois,18.0,37.0,15032.0,6292.0,0.7049334083661601,42379,21223,21156,7.1,91.2,0.6,0.1,0.6,0.0,31012,57307,28302,10.0,11.8,31.6,14.9,21.0,9.7,22.7,88.0,5.8,0.1,1.5,0.4,4.3,19.1,21928,84.3,10.2,5.4,0.0,2.9
Indiana,Putnam,18.0,133.0,12278.0,3946.0,0.7567800788954635,37543,19747,17796,2.5,91.9,3.1,0.2,1.0,0.0,29794,55295,23842,11.6,19.4,28.5,17.5,22.8,11.5,19.8,79.2,9.7,0.0,7.4,0.8,2.9,25.0,16283,84.7,10.6,4.7,0.0,5.1
Indiana,Franklin,18.0,47.0,9691.0,2137.0,0.8193270206290159,22835,11415,11420,1.1,98.4,0.2,0.0,0.3,0.0,17231,55588,26267,9.9,10.6,31.6,15.6,18.8,12.9,21.1,88.9,5.7,0.1,0.6,0.7,4.0,30.1,11012,82.5,10.0,7.4,0.1,5.3
Indiana,Cass,18.0,17.0,10552.0,4304.0,0.7102854065697362,38248,19091,19157,14.6,81.0,1.4,0.3,1.5,0.0,26823,45558,23592,13.9,20.6,23.4,17.2,18.6,11.0,29.8,84.3,9.9,0.6,1.5,1.5,2.2,20.6,17137,82.9,12.7,4.3,0.1,6.4
Indiana,LaPorte,18.0,91.0,25991.0,22419.0,0.5368932038834952,110839,57212,53627,6.3,79.9,10.9,0.3,0.6,0.0,85044,49921,25004,16.6,28.7,26.6,19.5,22.7,10.2,21.0,83.5,8.7,0.8,2.0,1.3,3.7,22.1,47222,85.8,9.9,4.3,0.0,8.0
Indiana,Hendricks,18.0,63.0,53802.0,32604.0,0.6226650927018957,158170,78924,79246,3.6,85.8,6.0,0.2,2.5,0.0,114294,74245,33031,5.1,5.9,40.4,14.5,24.4,7.8,13.0,87.5,6.3,0.1,0.8,1.1,4.3,27.0,81408,84.3,11.3,4.3,0.1,4.5
Indiana,St. Joseph,18.0,141.0,53152.0,59870.0,0.4702801224540355,268613,130472,138141,8.3,73.6,12.8,0.3,2.1,0.1,195212,48121,25893,17.1,25.6,34.6,17.6,24.0,6.7,17.1,81.8,8.1,1.5,3.7,1.2,3.8,21.0,125645,86.6,9.2,4.0,0.1,6.4
Indiana,Wayne,18.0,177.0,17567.0,9524.0,0.6484441327378097,66972,32387,34585,2.8,88.5,5.0,0.2,1.0,0.0,51530,41813,23895,18.2,26.3,30.2,18.9,21.9,7.9,21.1,83.3,7.2,0.4,3.0,2.4,3.6,19.6,29078,85.1,9.6,5.1,0.2,6.5
Indiana,Madison,18.0,95.0,31215.0,19524.0,0.6152072370365991,129641,64805,64836,3.8,85.3,7.5,0.2,0.5,0.0,99639,45432,23680,17.4,25.4,29.2,20.8,24.0,8.7,17.3,83.2,9.1,0.2,2.2,1.6,3.7,25.9,55819,84.5,10.3,4.9,0.3,6.8
Indiana,Dearborn,18.0,29.0,19524.0,5444.0,0.7819609099647549,49564,24774,24790,1.2,96.3,0.8,0.2,0.4,0.0,37838,62905,30228,10.1,14.7,31.5,17.7,21.8,11.5,17.5,86.1,7.6,0.4,1.6,1.0,3.4,28.7,24597,84.4,10.5,4.9,0.2,5.8
Indiana,Whitley,18.0,183.0,12856.0,4233.0,0.7522967991105389,33481,16716,16765,1.9,95.7,0.4,0.2,0.4,0.0,25562,57041,28073,9.5,15.0,27.0,13.8,22.6,10.3,26.4,87.0,7.9,0.3,0.8,1.2,2.7,22.9,16513,85.8,9.1,5.1,0.0,3.6
Indiana,Tippecanoe,18.0,157.0,34581.0,35017.0,0.4968677260840829,186081,94992,91089,8.1,77.0,4.7,0.1,8.0,0.0,131956,50486,25481,20.9,19.1,39.2,17.7,20.6,6.7,15.8,74.1,10.6,3.1,6.7,2.3,3.2,17.7,91869,79.5,16.8,3.5,0.2,5.2
Indiana,Wabash,18.0,169.0,10762.0,3494.0,0.7549102132435466,31848,15568,16280,2.5,94.5,0.9,0.7,0.2,0.0,24832,49052,24700,13.3,22.7,30.3,18.2,20.0,10.3,21.2,86.6,4.8,0.7,4.6,0.5,2.8,19.6,15079,84.9,9.6,5.2,0.4,5.5
Indiana,Miami,18.0,103.0,10925.0,3235.0,0.7715395480225988,36035,19016,17019,3.0,89.3,5.0,0.8,0.6,0.1,27982,46666,22890,16.0,24.9,24.6,18.1,20.0,10.6,26.6,86.9,7.7,0.2,1.5,1.9,1.9,24.1,15337,79.9,14.6,5.1,0.4,7.8
Indiana,Shelby,18.0,145.0,14568.0,5023.0,0.7436067582052983,44339,21933,22406,4.0,92.6,1.0,0.1,0.7,0.0,33376,57216,27317,10.6,14.3,28.7,17.1,19.9,11.4,22.9,85.2,9.4,0.2,1.8,1.0,2.5,23.5,22045,84.4,9.9,5.6,0.2,4.9
Indiana,Wells,18.0,179.0,10855.0,2928.0,0.7875643909163462,27832,13689,14143,2.8,95.0,0.7,0.2,0.5,0.0,20806,53038,25850,11.0,15.5,27.3,15.9,22.7,10.8,23.3,88.8,4.9,0.1,1.5,0.7,4.1,21.3,13703,85.4,8.8,5.7,0.1,3.0
Indiana,Spencer,18.0,147.0,7354.0,3208.0,0.6962696459003976,20610,10431,10179,2.9,95.1,0.6,0.2,0.2,0.1,15846,55280,29114,9.7,14.1,28.6,14.4,20.8,12.0,24.3,85.3,7.0,0.2,1.0,1.2,5.3,26.8,9859,85.9,7.9,6.1,0.1,5.7
Indiana,Montgomery,18.0,107.0,12659.0,4213.0,0.7502963489805595,38288,19432,18856,4.7,92.2,0.8,0.2,0.8,0.0,28672,53075,25519,10.2,14.9,25.6,15.6,21.4,11.3,26.2,83.6,8.6,0.4,4.0,0.8,2.6,21.9,18802,85.2,10.4,4.0,0.4,4.4
Indiana,Delaware,18.0,35.0,26724.0,20328.0,0.5679673552665137,115938,55903,60035,2.3,87.1,7.1,0.1,1.3,0.0,92417,41208,23271,21.2,25.2,32.4,21.6,24.1,8.0,13.9,80.0,8.1,1.9,4.7,2.0,3.4,20.6,53152,81.9,14.3,3.7,0.1,7.9
Indiana,Fulton,18.0,49.0,6694.0,2280.0,0.7459326944506351,20296,9992,10304,5.0,92.3,1.0,0.5,0.3,0.1,15098,47108,23557,13.3,16.2,23.1,15.2,19.6,11.3,30.8,82.0,10.2,0.1,1.1,2.0,4.6,22.8,9575,81.2,11.2,7.1,0.6,3.8
Indiana,Gibson,18.0,51.0,11817.0,4027.0,0.7458343852562485,33596,16841,16755,1.5,94.2,2.0,0.1,0.3,0.0,25458,51149,27342,10.7,13.9,26.7,15.6,18.9,12.5,26.3,87.1,6.8,0.2,2.6,1.0,2.3,21.5,16210,88.6,7.4,3.9,0.1,3.5
Indiana,Huntington,18.0,69.0,13147.0,4255.0,0.7554878749569015,36520,17917,18603,2.2,95.2,0.8,0.3,0.8,0.0,28186,50063,24222,11.6,16.6,27.4,16.6,21.5,9.1,25.4,85.5,6.9,0.3,3.5,0.5,3.4,20.2,18256,85.0,9.5,5.4,0.1,3.9
Indiana,Jennings,18.0,79.0,9490.0,2523.0,0.7899775243486223,27840,13983,13857,2.3,95.4,1.4,0.2,0.4,0.0,21010,48362,22901,13.9,19.2,21.1,17.9,21.7,11.1,28.2,83.6,10.2,0.4,1.5,1.3,3.1,26.3,13028,81.4,13.7,4.3,0.6,6.0
Indiana,DeKalb,18.0,33.0,14237.0,4966.0,0.741394573764516,42524,21161,21363,2.8,95.1,0.2,0.1,0.3,0.0,31716,51374,26057,12.5,20.7,28.3,13.2,19.6,9.1,29.8,86.3,8.5,0.1,1.1,1.1,2.9,20.7,21054,87.8,7.8,4.2,0.2,4.6
Indiana,Rush,18.0,139.0,6035.0,1754.0,0.7748106303761715,16765,8223,8542,1.5,96.1,1.4,0.0,0.1,0.0,12873,47955,23749,18.3,25.0,24.4,14.2,22.8,14.3,24.3,85.8,8.0,0.5,0.9,0.2,4.7,26.0,7403,83.4,10.4,6.0,0.3,4.7
Indiana,Boone,18.0,11.0,22351.0,15244.0,0.5945205479452055,63013,31211,31802,2.7,91.6,1.6,0.2,2.6,0.0,44927,75591,42844,6.1,7.9,48.2,12.4,20.8,7.1,11.6,86.0,6.3,0.1,0.9,1.3,5.4,24.9,32690,85.1,8.9,6.0,0.1,3.3
Indiana,Switzerland,18.0,155.0,3133.0,964.0,0.7647058823529411,10617,5497,5120,1.4,95.7,0.8,0.0,0.5,0.0,7897,43468,21511,19.7,26.9,16.6,23.2,19.9,18.4,21.9,79.0,12.9,0.0,1.2,1.1,5.7,37.4,4378,78.9,14.9,6.2,0.0,6.6
Indiana,Clark,18.0,19.0,33656.0,23088.0,0.593119977442549,114893,55952,58941,5.3,83.9,6.7,0.1,0.7,0.0,86607,52834,26875,9.7,14.0,31.1,16.9,25.5,7.6,18.8,85.7,8.3,0.9,0.9,0.9,3.3,24.0,56087,85.9,10.1,4.0,0.0,5.7
