state,county,state_id,county_id,DEM_votes,REP_votes,normalized_election_outcome,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Alabama,Walker,1.0,127.0,25947.0,4826.0,0.8431742111591328,64927,31709,33218,2.4,89.4,6.0,0.1,0.5,0.0,49884,38872,21217,21.5,31.4,26.3,17.7,23.4,14.3,18.3,85.8,10.5,0.3,1.1,0.9,1.4,29.2,24280,79.9,14.3,5.7,0.1,10.0
Alabama,Marengo,1.0,91.0,5337.0,5476.0,0.4935725515583094,19743,9235,10508,0.4,45.1,54.1,0.1,0.0,0.0,15131,32255,22996,25.6,36.5,29.6,17.6,20.5,11.4,20.9,88.0,5.7,0.0,1.2,2.3,2.8,25.5,6645,77.6,17.1,4.5,0.8,12.8
Alabama,Cherokee,1.0,19.0,10562.0,1619.0,0.8670880880059109,25855,12862,12993,1.6,91.8,5.0,0.5,0.1,0.0,20620,40041,23010,16.1,20.0,28.8,14.8,18.1,11.9,26.5,85.0,12.1,0.4,0.3,0.3,2.0,26.5,9879,74.8,17.1,8.1,0.0,5.3
Alabama,Tuscaloosa,1.0,125.0,50961.0,37514.0,0.5759932184232834,204424,98725,105699,3.5,62.4,31.2,0.1,1.5,0.0,156404,50513,24895,17.3,21.4,35.8,17.5,20.9,8.7,17.2,85.6,8.5,0.5,1.5,1.0,3.1,22.3,90941,77.4,18.5,4.0,0.1,6.7
Alabama,Shelby,1.0,117.0,79428.0,33036.0,0.7062526675202732,208721,101420,107301,5.8,78.5,11.7,0.2,1.9,0.0,151940,74063,35330,8.3,10.1,44.3,13.7,26.8,7.4,7.7,86.2,7.3,0.1,0.7,0.8,4.9,28.0,104093,82.2,12.7,4.9,0.3,4.3
Alabama,Barbour,1.0,5.0,5605.0,4772.0,0.5401368410908739,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0.0,20269,33368,17561,27.2,44.9,25.0,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,8878,74.1,19.1,6.5,0.3,12.4
Alabama,Dale,1.0,45.0,14281.0,5154.0,0.7348083354772318,49393,24524,24869,6.1,69.5,19.2,0.5,0.9,0.0,37173,44711,23194,19.6,27.2,28.2,15.3,26.6,13.7,16.1,87.1,6.7,0.1,2.1,1.8,2.2,20.7,17988,73.6,20.7,5.6,0.2,10.4
Alabama,Pickens,1.0,107.0,5590.0,4017.0,0.5818673883626523,20170,9601,10569,4.1,54.1,40.5,0.1,0.1,0.0,15585,36220,20089,22.9,34.8,22.6,17.4,22.4,12.7,24.9,82.6,10.6,0.9,1.6,0.3,4.0,29.5,6903,77.0,18.1,4.6,0.3,12.2
Alabama,Monroe,1.0,99.0,6129.0,4425.0,0.5807276861853325,21745,10355,11390,1.3,54.5,40.8,1.3,0.5,0.0,16664,26036,17264,33.7,43.5,28.7,18.5,20.1,14.2,18.5,91.1,3.6,0.3,1.2,1.1,2.7,24.7,6154,75.9,18.9,5.2,0.0,21.6
Alabama,Dallas,1.0,47.0,5523.0,12228.0,0.3111374007098192,40755,18809,21946,1.0,27.7,70.2,0.0,0.4,0.0,30303,30065,18248,31.9,49.5,26.7,18.2,20.9,8.8,25.3,86.6,8.9,0.2,1.7,1.4,1.2,22.1,14461,78.8,15.2,5.6,0.4,13.7
