state,county,party_x,DEM_votes,party_y,REP_votes
Georgia,Taliaferro,REP,360,DEM,561
Georgia,Tattnall,REP,6053,DEM,2061
Georgia,Taylor,REP,2418,DEM,1387
Georgia,Telfair,REP,2825,DEM,1487
Georgia,Terrell,REP,2004,DEM,2376
Georgia,Thomas,REP,12954,DEM,8708
Georgia,Tift,REP,10784,DEM,5322
Georgia,Toombs,REP,7872,DEM,2939
Georgia,Towns,REP,6384,DEM,1550
Georgia,Treutlen,REP,2101,DEM,952
Georgia,Troup,REP,18146,DEM,11585
Georgia,Turner,REP,2349,DEM,1410
Georgia,Twiggs,REP,2370,DEM,2044
Georgia,Union,REP,12651,DEM,2801
Georgia,Upson,REP,8608,DEM,4201
Georgia,Walker,REP,23174,DEM,5769
Georgia,Walton,REP,37617,DEM,12634
Georgia,Ware,REP,9930,DEM,4249
Georgia,Warren,REP,1177,DEM,1488
Georgia,Washington,REP,4663,DEM,4730
Georgia,Wayne,REP,9987,DEM,2687
Georgia,Webster,REP,748,DEM,639
Georgia,Wheeler,REP,1583,DEM,689
Georgia,White,REP,12222,DEM,2411
Georgia,Whitfield,REP,25636,DEM,10670
Georgia,Wilcox,REP,2403,DEM,862
Georgia,Wilkes,REP,2823,DEM,2159
Georgia,Wilkinson,REP,2664,DEM,2075
Georgia,Worth,REP,6831,DEM,2395
Hawaii,Hawaii,REP,26851,DEM,58683
Hawaii,Honolulu,REP,136259,DEM,238869
Hawaii,Kauai,REP,11579,DEM,21217
Hawaii,Maui,REP,22111,DEM,47301
Idaho,Ada,REP,130699,DEM,120539
Idaho,Adams,REP,1941,DEM,591
Idaho,Bannock,REP,23331,DEM,14682
Idaho,Bear Lake,REP,2914,DEM,350
Idaho,Benewah,REP,3878,DEM,977
Idaho,Bingham,REP,15295,DEM,4124
Idaho,Blaine,REP,4031,DEM,8919
Idaho,Boise,REP,3495,DEM,1214
Idaho,Bonner,REP,18369,DEM,8310
Idaho,Bonneville,REP,37805,DEM,14254
Idaho,Boundary,REP,4937,DEM,1220
Idaho,Butte,REP,1202,DEM,188
Idaho,Camas,REP,507,DEM,149
Idaho,Canyon,REP,61759,DEM,25881
Idaho,Caribou,REP,2906,DEM,431
Idaho,Cassia,REP,7907,DEM,1464
Idaho,Clark,REP,264,DEM,41
Idaho,Clearwater,REP,3453,DEM,877
Idaho,Custer,REP,2089,DEM,603
Idaho,Elmore,REP,7246,DEM,2601
Idaho,Franklin,REP,5845,DEM,657
Idaho,Fremont,REP,5548,DEM,998
Idaho,Gem,REP,7951,DEM,1803
Idaho,Gooding,REP,4659,DEM,1256
Idaho,Idaho,REP,7826,DEM,1561
Idaho,Jefferson,REP,12099,DEM,1661
Idaho,Jerome,REP,5734,DEM,1893
Idaho,Kootenai,REP,62837,DEM,24312
Idaho,Latah,REP,9472,DEM,10236
Idaho,Lemhi,REP,3592,DEM,1032
Idaho,Lewis,REP,1489,DEM,349
Idaho,Lincoln,REP,1469,DEM,414
Idaho,Madison,REP,13559,DEM,2666
Idaho,Minidoka,REP,6265,DEM,1550
Idaho,Nez Perce,REP,13738,DEM,6686
Idaho,Oneida,REP,2148,DEM,249
Idaho,Owyhee,REP,3819,DEM,816
Idaho,Payette,REP,8862,DEM,2161
Idaho,Power,REP,2116,DEM,865
Idaho,Shoshone,REP,4216,DEM,1693
Idaho,Teton,REP,2858,DEM,3318
Idaho,Twin Falls,REP,25897,DEM,9391
Idaho,Valley,REP,3947,DEM,2976
Idaho,Washington,REP,4154,DEM,1073
Illinois,Adams,REP,24131,DEM,8569
Illinois,Alexander,REP,3056,DEM,2522
Illinois,Bond,REP,5612,DEM,2275
Illinois,Boone,REP,13762,DEM,10372
Illinois,Brown,REP,1930,DEM,485
Illinois,Bureau,REP,10296,DEM,6545
Illinois,Calhoun,REP,2043,DEM,674
Illinois,Carroll,REP,5098,DEM,2737
Illinois,Cass,REP,3624,DEM,1615
Illinois,Champaign,REP,34774,DEM,55173
Illinois,Christian,REP,11505,DEM,4286
Illinois,Clark,REP,6215,DEM,1990
Illinois,Clay,REP,5626,DEM,1129
Illinois,Clinton,REP,14264,DEM,4459
Illinois,Coles,REP,13981,DEM,7997
Illinois,Cook,REP,546789,DEM,1682455
Illinois,Crawford,REP,7025,DEM,2198
Illinois,Cumberland,REP,4595,DEM,1141
Illinois,DeKalb,REP,21818,DEM,24484
Illinois,De Witt,REP,5623,DEM,2171
Illinois,Douglas,REP,6221,DEM,2327
Illinois,DuPage,REP,192426,DEM,279251
Illinois,Edgar,REP,6169,DEM,1869
Illinois,Edwards,REP,2833,DEM,488
Illinois,Effingham,REP,14983,DEM,3700
Illinois,Fayette,REP,8025,DEM,1815
Illinois,Ford,REP,4956,DEM,1691
Illinois,Franklin,REP,13514,DEM,4690
Illinois,Fulton,REP,9798,DEM,6371
Illinois,Gallatin,REP,2019,DEM,621
Illinois,Greene,REP,4767,DEM,1349
Illinois,Grundy,REP,16372,DEM,9445
Illinois,Hamilton,REP,3429,DEM,821
Illinois,Hancock,REP,5309,DEM,1114
Illinois,Hardin,REP,0,DEM,0
Illinois,Henderson,REP,2391,DEM,1186
Illinois,Henry,REP,15266,DEM,9762
Illinois,Iroquois,REP,10858,DEM,2895
Illinois,Jackson,REP,10835,DEM,11104
Illinois,Jasper,REP,4492,DEM,1006
Illinois,Jefferson,REP,12461,DEM,4597
Illinois,Jersey,REP,8699,DEM,2956
Illinois,Jo Daviess,REP,7161,DEM,5097
Illinois,Johnson,REP,5052,DEM,1280
Illinois,Kane,REP,96771,DEM,130143
Illinois,Kankakee,REP,28410,DEM,20112
Illinois,Kendall,REP,28515,DEM,31394
Illinois,Knox,REP,11818,DEM,10421
Illinois,Lake,REP,120938,DEM,196479
Illinois,LaSalle,REP,29482,DEM,21491
Illinois,Lawrence,REP,4849,DEM,1414
Illinois,Lee,REP,9584,DEM,6368
Illinois,Livingston,REP,12134,DEM,4568
Illinois,Logan,REP,9042,DEM,3769
Illinois,McDonough,REP,7009,DEM,4973
Illinois,McHenry,REP,81479,DEM,77208
Illinois,McLean,REP,40365,DEM,43719
Illinois,Macon,REP,28373,DEM,19633
Illinois,Macoupin,REP,16058,DEM,7313
Illinois,Madison,REP,75272,DEM,56845
Illinois,Marion,REP,12540,DEM,4396
Illinois,Marshall,REP,4196,DEM,2004
Illinois,Mason,REP,4645,DEM,1984
Illinois,Massac,REP,4989,DEM,1719
Illinois,Menard,REP,4722,DEM,2003
Illinois,Mercer,REP,5328,DEM,3212
Illinois,Monroe,REP,14046,DEM,6489
Illinois,Montgomery,REP,9504,DEM,3889
Illinois,Morgan,REP,9903,DEM,5020
Illinois,Moultrie,REP,4938,DEM,1645
Illinois,Ogle,REP,16092,DEM,9300
Illinois,Peoria,REP,37612,DEM,42600
Illinois,Perry,REP,7305,DEM,2609
Illinois,Piatt,REP,6219,DEM,3302
Illinois,Pike,REP,6235,DEM,1458
Illinois,Pope,REP,1720,DEM,432
Illinois,Pulaski,REP,1699,DEM,891
Illinois,Putnam,REP,1978,DEM,1309
Illinois,Randolph,REP,11065,DEM,3590
Illinois,Richland,REP,7988,DEM,1355
Illinois,Rock Island,REP,28585,DEM,36647
Illinois,St. Clair,REP,56000,DEM,66698
Illinois,Saline,REP,8096,DEM,2786
Illinois,Sangamon,REP,53303,DEM,48756
Illinois,Schuyler,REP,2767,DEM,1064
Illinois,Scott,REP,2104,DEM,569
Illinois,Shelby,REP,9396,DEM,2488
Illinois,Stark,REP,2000,DEM,814
Illinois,Stephenson,REP,12253,DEM,8756
Illinois,Tazewell,REP,42194,DEM,24486
Illinois,Union,REP,6157,DEM,2575
Illinois,Vermilion,REP,20710,DEM,10313
Illinois,Wabash,REP,4228,DEM,1248
Illinois,Warren,REP,4671,DEM,3087
Illinois,Washington,REP,6110,DEM,1639
Illinois,Wayne,REP,7172,DEM,1185
Illinois,White,REP,5788,DEM,1517
Illinois,Whiteside,REP,14472,DEM,12195
Illinois,Will,REP,154351,DEM,182957
Illinois,Williamson,REP,22681,DEM,10107
Illinois,Winnebago,REP,60592,DEM,58791
Illinois,Woodford,REP,14590,DEM,5976
Illinois,Cook Suburbs,REP,367511,DEM,749899
Indiana,Adams,REP,10685,DEM,3236
Indiana,Allen,REP,92083,DEM,73189
Indiana,Bartholomew,REP,22409,DEM,12934
Indiana,Benton,REP,3007,DEM,1009
Indiana,Blackford,REP,3838,DEM,1376
Indiana,Boone,REP,22351,DEM,15244
Indiana,Brown,REP,5725,DEM,2996
Indiana,Carroll,REP,7086,DEM,2224
Indiana,Cass,REP,10552,DEM,4304
Indiana,Clark,REP,33656,DEM,23088
Indiana,Clay,REP,9498,DEM,2549
Indiana,Clinton,REP,9334,DEM,3361
Indiana,Crawford,REP,3499,DEM,1369
Indiana,Daviess,REP,9576,DEM,2169
Indiana,Dearborn,REP,19524,DEM,5444
Indiana,Decatur,REP,9570,DEM,2436
Indiana,DeKalb,REP,14237,DEM,4966
Indiana,Delaware,REP,26724,DEM,20328
Indiana,Dubois,REP,15032,DEM,6292
Indiana,Elkhart,REP,46972,DEM,26108
Indiana,Fayette,REP,7755,DEM,2237
Indiana,Floyd,REP,23400,DEM,17511
Indiana,Fountain,REP,6154,DEM,1629
Indiana,Franklin,REP,9691,DEM,2137
Indiana,Fulton,REP,6694,DEM,2280
Indiana,Gibson,REP,11817,DEM,4027
Indiana,Grant,REP,18543,DEM,8015
Indiana,Greene,REP,11103,DEM,3389
Indiana,Hamilton,REP,101587,DEM,88390
Indiana,Hancock,REP,28825,DEM,12824
Indiana,Harrison,REP,14565,DEM,5343
Indiana,Hendricks,REP,53802,DEM,32604
Indiana,Henry,REP,15043,DEM,5543
